dataset_id,tissue_block_id,ccf_annotations
911380980cd33eac5add7f72d86de146,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
781a16848177ef6567d4963a0eb9fb0a,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
17fb6d5db17936acc8fb613ce98ab808,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
bca0d1d7fcb2bdcde16a31d1484e83e5,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
5137facf6f24b87d325b886ec8e5fb1f,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
4734034ae3026f586bab5269085ba0e6,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
5c57b3574a103e4990c8ed54cd82c6e6,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
69e35548d14ef026c46ddbab31f761da,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
0cecd7cf1da6f81d3654c1712a5d61a2,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
2ee93cd3a39b317d58d3f308281a943e,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
8adfc58a225049fb0884a8289d560534,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
2a590db3d7ab1e1512816b165d95cdcf,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
e3d2be85088ae5073758e6609167407a,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
bba1f664447f3bf1bccb0b6ebf2f61ad,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
10b22d398b548c141167d4d9c4cbd79e,https://entity.api.hubmapconsortium.org/entities/0a558711c6b9d5b9029717d722a2c31c,"['http://purl.obolibrary.org/obo/UBERON_0000362', 'http://purl.obolibrary.org/obo/UBERON_0002015', 'http://purl.obolibrary.org/obo/UBERON_0001225', 'http://purl.obolibrary.org/obo/UBERON_0002189', 'http://purl.obolibrary.org/obo/UBERON_0004200', 'http://purl.obolibrary.org/obo/UBERON_0001284']"
